rank,team,total,avg,points
182   184,Eastern Illinois,7 Commits,77.88,51.75
183   181,Furman,9 Commits,83.17,51.64
0   0,Findlay,6 Commits,78.89,51.34
184   182,Saint Francis (PA),13 Commits,82.93,50.86
185   185,Western Carolina,10 Commits,82.59,49.44
0   0,Western Oregon,10 Commits,78.07,46.34
186   187,Pennsylvania,11 Commits,81.50,45.09
187   186,Texas Southern,5 Commits,85.12,44.99
188   189,Towson,8 Commits,84.69,43.65
189   193,Wayne State,10 Commits,77.50,43.09
190   188,Delaware State,3 Commits,84.39,42.78
191   190,Kennesaw State,16 Commits,84.38,42.71
192   190,Samford,5 Commits,84.33,42.57
192   194,Southeastern Louisiana,6 Commits,84.33,42.57
194   195,Charleston Southern,13 Commits,80.75,42.28
195   197,Robert Morris,4 Commits,80.69,42.06
196   198,Murray State,4 Commits,83.83,41.11
197   196,Richmond,8 Commits,83.67,40.60
198   192,Fordham,7 Commits,80.33,40.60
199   200,Wofford,10 Commits,83.66,40.57
200   199,Southeast Missouri State,5 Commits,82.67,37.76
0   0,Black Hills State,3 Commits,82.00,35.68
201   202,San Diego,6 Commits,78.79,34.59
202   203,Duquesne,4 Commits,81.42,34.05
203   201,Pittsburg State,4 Commits,81.00,32.75
204   204,Bucknell,7 Commits,78.00,31.53
205   205,Alabama State,5 Commits,85.50,30.91
0   0,Davenport,7 Commits,75.33,30.50
206   206,Drake,14 Commits,75.80,28.09
207   207,Alcorn State,2 Commits,84.00,27.92
208   208,UT Martin,4 Commits,83.50,26.92
208   208,West Alabama,2 Commits,83.50,26.92
210   210,Alabama A&M,3 Commits,83.00,25.94
211   211,Lafayette,2 Commits,82.50,24.94
212   212,McNeese,2 Commits,82.50,24.93
213   216,Rhode Island,2 Commits,82.19,24.34
214   213,Northern Colorado,2 Commits,82.00,23.93
0   0,Walsh,2 Commits,82.00,23.93
215   214,Morehead State,6 Commits,78.00,23.82
216   215,Brown,3 Commits,78.00,23.78
217   217,Georgetown,2 Commits,81.50,22.94
218   218,Lehigh,2 Commits,81.50,22.93
219   219,Lindenwood,3 Commits,77.67,22.79
220   220,Campbell,5 Commits,81.26,22.47
0   0,Carroll College,3 Commits,81.00,21.94
221   221,Central Missouri,3 Commits,80.98,21.93
222   222,Bryant,4 Commits,80.79,21.54
0   0,Marian,2 Commits,80.50,20.96
0   0,St. Thomas,6 Commits,77.00,20.84
0   0,Central State,2 Commits,88.44,18.44
223   223,Tiffin,3 Commits,79.00,17.97
0   0,Michigan Tech,3 Commits,76.00,17.87
224   224,Fort Hays State,3 Commits,78.00,15.96
225   225,Ashland University,2 Commits,78.00,15.95
226   227,Tuskegee,1 Commits,85.89,15.89
0   0,Minnesota Duluth,1 Commits,85.14,15.14
0   0,Allen University,1 Commits,85.00,15.00
227   226,Prairie View A&M,1 Commits,84.78,14.78
228   227,Morgan State,3 Commits,84.00,14.00
228   227,Western New Mexico,2 Commits,84.00,14.00
0   0,UVA Wise,2 Commits,84.00,14.00
228   238,Incarnate Word,2 Commits,84.00,14.00
231   230,Valparaiso,4 Commits,77.00,13.99
232   231,New Hampshire,3 Commits,77.00,13.98
233   238,St. Thomas,1 Commits,83.50,13.50
0   0,West Florida,2 Commits,83.42,13.42
234   232,Lamar,5 Commits,83.31,13.31
235   232,Limestone,2 Commits,83.17,13.17
236   232,Lenoir-Rhyne,4 Commits,83.00,13.00
236   232,Gardner-Webb,2 Commits,83.00,13.00
236   238,Hampton,4 Commits,83.00,13.00
239   237,Dayton,3 Commits,74.33,12.90
240   249,Presbyterian,3 Commits,82.52,12.52
241   247,North Carolina Central,6 Commits,82.44,12.44
242   249,William & Mary,5 Commits,82.28,12.28
243   238,Houston Christian,1 Commits,82.04,12.04
243   232,Norfolk State,1 Commits,82.04,12.04
245   238,Northwestern State,1 Commits,82.00,12.00
245   238,Maine,1 Commits,82.00,12.00
0   0,Georgetown College,1 Commits,82.00,12.00
245   238,Arkansas Tech,2 Commits,82.00,12.00
0   0,Lake Erie,1 Commits,82.00,12.00
0   0,Southeastern,1 Commits,82.00,12.00
248   245,Wagner,7 Commits,76.00,11.98
0   0,Faulkner,1 Commits,81.50,11.50
249   246,Princeton,6 Commits,81.00,11.00
0   0,Western Colorado,1 Commits,81.00,11.00
0   0,Upper Iowa,2 Commits,75.50,10.98
250   247,Holy Cross,8 Commits,80.00,10.00
0   0,New Mexico Highlands,1 Commits,80.00,10.00
251   249,Davidson,5 Commits,79.00,9.00
251   249,CSU-Pueblo,1 Commits,79.00,9.00
0   0,Winona State,2 Commits,79.00,9.00
251   249,Tarleton State,1 Commits,79.00,9.00
0   0,Hamline,1 Commits,78.00,8.00
254   254,Northwood University,1 Commits,78.00,8.00
254   254,Missouri Southern State,1 Commits,78.00,8.00
256   256,Colorado School of Mines,2 Commits,77.00,7.00
0   0,Quincy,2 Commits,77.00,7.00
0   0,Southern Oregon,2 Commits,76.00,6.00
257   257,Butler,1 Commits,76.00,6.00
0   0,Gannon,2 Commits,76.00,6.00
257   257,Stetson,2 Commits,76.00,6.00
0   0,Wisconsin-Whitewater,1 Commits,76.00,6.00
0   0,Missouri Western State,1 Commits,75.00,5.00
259   259,Northwest Missouri State,2 Commits,75.00,5.00
0   0,Slippery Rock,1 Commits,75.00,5.00
0   0,Hillsdale College,1 Commits,75.00,5.00
0   0,Aurora University,1 Commits,73.00,3.00
0   0,North Central College,1 Commits,73.00,3.00
